City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Adrar,MR,20.5022,-10.0711,83.17,30,28,9.35,scattered clouds
80,Henties Bay,NA,-22.116,14.2845,52.56,81,0,15.52,clear sky
81,San Julian,MX,21.0167,-102.1667,59.65,90,99,6.98,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,54.1,76,20,5.75,few clouds
83,Port Alfred,ZA,-33.5906,26.891,54.18,94,100,3.0,overcast clouds
84,Alofi,NU,-19.0595,-169.9187,80.49,74,7,17.27,clear sky
85,Dingle,PH,10.9995,122.6711,87.4,67,100,15.5,overcast clouds
86,Cherskiy,RU,68.75,161.3,37.74,53,91,4.59,overcast clouds
87,Konya,TR,38.1667,32.5,63.88,79,0,9.13,clear sky
88,Butaritari,KI,3.0707,172.7902,82.04,72,12,17.94,few clouds
89,Ketchikan,US,55.3422,-131.6461,57.67,67,0,9.22,clear sky
90,Chapais,CA,49.7834,-74.8492,42.58,64,45,5.53,scattered clouds
91,Itabera,BR,-23.8619,-49.1372,52.41,91,0,8.63,clear sky
92,Ancud,CL,-41.8697,-73.8203,41.23,91,56,4.94,light rain
93,Clyde River,CA,70.4692,-68.5914,35.83,100,100,11.5,light rain
94,Morant Bay,JM,17.8815,-76.4093,83.82,81,5,6.73,clear sky
95,Hithadhoo,MV,-0.6,73.0833,82.04,74,99,8.39,overcast clouds
96,Fortuna,US,40.5982,-124.1573,60.93,88,100,1.01,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,48.72,87,75,4.61,broken clouds
98,Half Moon Bay,US,37.4636,-122.4286,64.83,90,75,13.8,mist
99,Saint-Francois,FR,46.4154,3.9054,39.67,100,0,0.0,clear sky
100,Paamiut,GL,61.994,-49.6678,41.7,94,72,3.53,broken clouds
101,Barrow,US,71.2906,-156.7887,46.42,76,75,8.05,broken clouds
102,Provideniya,RU,64.3833,-173.3,42.91,100,100,8.99,fog
103,Te Anau,NZ,-45.4167,167.7167,55.99,72,50,5.66,scattered clouds
104,Korla,CN,41.7597,86.1469,77.9,14,42,6.4,scattered clouds
105,Hilo,US,19.7297,-155.09,80.28,86,100,3.0,moderate rain
106,Thompson,CA,55.7435,-97.8558,53.76,100,100,3.44,overcast clouds
107,Kavieng,PG,-2.5744,150.7967,83.19,72,87,10.63,light rain
108,Ambilobe,MG,-13.2,49.05,72.84,59,21,5.77,few clouds
109,Havelock,US,34.8791,-76.9013,76.93,93,90,3.87,overcast clouds
110,Luancheng,CN,37.8792,114.6517,73.56,29,19,5.26,few clouds
111,Bandraboua,YT,-12.7044,45.1223,73.08,79,9,6.04,clear sky
112,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,78.42,66,1,0.96,clear sky
113,Ampanihy,MG,-24.7,44.75,72.0,56,0,7.65,clear sky
114,Batemans Bay,AU,-35.7167,150.1833,63.1,45,73,8.86,broken clouds
115,Necochea,AR,-38.5473,-58.7368,51.15,95,100,11.43,overcast clouds
116,Fare,PF,-16.7,-151.0167,78.48,74,6,18.61,light rain
117,Hualmay,PE,-11.0964,-77.6139,61.11,86,66,8.72,broken clouds
118,Novo Aripuana,BR,-5.1206,-60.3797,74.44,86,30,1.41,scattered clouds
119,Batticaloa,LK,7.7102,81.6924,84.49,67,98,1.7,overcast clouds
120,Lagoa,PT,39.05,-27.9833,72.75,88,7,8.34,clear sky
121,Grand Gaube,MU,-20.0064,57.6608,73.38,68,2,8.99,clear sky
122,Isangel,VU,-19.55,169.2667,84.31,65,75,9.22,broken clouds
123,Dodoma,TZ,-6.1722,35.7395,62.51,82,20,13.8,few clouds
124,Hobart,AU,-42.8794,147.3294,60.26,58,75,10.36,broken clouds
125,Kaspiyskiy,RU,45.3929,47.3707,73.02,71,0,21.27,clear sky
126,Okahandja,NA,-21.9833,16.9167,49.51,48,0,7.16,clear sky
127,Jumla,NP,29.2747,82.1838,70.61,70,50,3.22,scattered clouds
128,Banda Aceh,ID,5.5577,95.3222,86.25,61,89,12.97,overcast clouds
129,Bunia,CD,1.5667,30.25,61.72,96,62,1.97,light rain
130,Atambua,ID,-9.1061,124.8925,86.86,47,66,5.37,broken clouds
131,Viedma,AR,-40.8135,-62.9967,47.59,96,100,17.87,light rain
132,Nizwa,OM,22.9333,57.5333,84.78,46,3,2.59,clear sky
133,Grindavik,IS,63.8424,-22.4338,49.95,93,100,31.07,light intensity drizzle rain
134,San Cristobal,VE,7.7669,-72.225,69.98,95,43,1.61,scattered clouds
135,Russell,US,32.3502,-85.1999,74.8,94,0,0.0,clear sky
136,Sao Filipe,CV,14.8961,-24.4956,78.04,76,52,6.35,broken clouds
137,Bud,US,39.447,-86.1758,75.22,81,0,7.52,clear sky
138,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,76,75,8.05,broken clouds
139,Laguna,US,38.421,-121.4238,65.91,81,75,12.66,broken clouds
140,Saldanha,ZA,-33.0117,17.9442,53.65,66,2,21.23,clear sky
141,Rayagada,IN,19.1667,83.4167,75.7,95,100,3.31,overcast clouds
142,Marzuq,YE,14.4,46.4667,82.54,27,10,4.0,clear sky
143,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,65.95,92,15,5.66,few clouds
144,Georgetown,MY,5.4112,100.3354,87.73,70,20,5.75,few clouds
145,Bredasdorp,ZA,-34.5322,20.0403,49.64,83,92,3.91,overcast clouds
146,Torbay,CA,47.6666,-52.7314,50.58,78,0,11.5,clear sky
147,Trairi,BR,-3.2778,-39.2689,77.67,82,85,12.53,overcast clouds
148,Taiyuan,CN,37.8694,112.5603,60.66,82,40,13.42,scattered clouds
149,Barsovo,RU,61.1667,73.1667,51.93,79,7,18.12,clear sky
150,Paita,PE,-5.0892,-81.1144,64.02,89,2,10.96,clear sky
151,Badvel,IN,14.75,79.05,84.58,59,100,15.28,overcast clouds
152,Beihai,CN,21.4833,109.1,88.21,65,47,9.69,scattered clouds
153,Formosa,AR,-26.1775,-58.1781,73.38,60,0,5.75,clear sky
154,Griffith,US,41.5284,-87.4237,79.05,78,100,3.44,overcast clouds
155,Camocim,BR,-2.9022,-40.8411,76.64,84,100,12.3,overcast clouds
156,Paramonga,PE,-10.6667,-77.8333,61.47,87,89,8.05,overcast clouds
157,Sorkjosen,NO,69.8,20.9333,46.4,81,100,10.36,overcast clouds
158,Elban,RU,50.1018,136.5094,51.94,63,32,16.4,scattered clouds
159,Arraial Do Cabo,BR,-22.9661,-42.0278,65.66,74,3,0.67,clear sky
160,Cabo San Lucas,MX,22.8909,-109.9124,85.51,73,100,11.52,overcast clouds
161,Carnarvon,AU,-24.8667,113.6333,65.95,50,75,26.84,broken clouds
162,Clifton,US,40.8584,-74.1638,77.72,68,0,8.05,clear sky
163,Hermanus,ZA,-34.4187,19.2345,49.8,69,96,8.3,overcast clouds
164,Magadi,IN,12.9667,77.2333,71.76,78,100,8.72,overcast clouds
165,Lima,PE,-12.0432,-77.0282,59.9,85,100,5.75,overcast clouds
166,Faridpur,BD,23.6,89.8333,80.04,88,100,9.37,overcast clouds
167,Amapa,BR,1.0,-52.0,69.19,89,70,1.79,broken clouds
168,Severo-Kurilsk,RU,50.6789,156.125,52.63,96,100,19.8,light rain
169,Vada,NL,51.97,5.6667,53.08,93,75,4.61,broken clouds
170,Karaton,ID,-6.3424,106.1045,87.22,59,97,0.72,overcast clouds
171,Dese,ET,11.1333,39.6333,56.05,79,54,0.25,broken clouds
172,Saskylakh,RU,71.9167,114.0833,35.04,81,100,10.47,overcast clouds
173,Ilulissat,GL,69.2167,-51.1,37.42,100,100,6.91,overcast clouds
174,Ponta Do Sol,PT,32.6667,-17.1,73.0,87,48,5.23,scattered clouds
175,San Andres,CO,12.5847,-81.7006,82.42,83,20,3.44,few clouds
176,Port Hardy,CA,50.6996,-127.4199,53.78,82,40,5.75,scattered clouds
177,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,61,14.03,light rain
178,Yamoussoukro,CI,6.8206,-5.2767,73.29,94,100,6.91,overcast clouds
179,Sydney,AU,-33.8679,151.2073,74.32,38,0,12.66,clear sky
180,Umm Lajj,SA,25.0213,37.2685,81.86,50,3,10.2,clear sky
181,Wuwei,CN,37.9281,102.6414,54.0,87,100,7.18,overcast clouds
182,Arman,RU,59.7,150.1667,55.02,46,100,7.4,overcast clouds
183,San Patricio,US,28.017,-97.5169,84.88,75,1,9.19,clear sky
184,Lucapa,AO,-8.4192,20.7447,66.65,90,100,1.63,overcast clouds
185,Lasa,IT,46.6166,10.7002,38.7,93,64,7.92,broken clouds
186,Kerema,PG,-7.9631,145.7785,83.61,72,100,7.45,overcast clouds
187,Narasannapeta,IN,18.4167,84.05,79.81,84,100,9.62,overcast clouds
188,Hasaki,JP,35.7333,140.8333,90.28,84,83,21.43,broken clouds
189,Talaya,RU,61.3833,152.75,51.26,28,92,8.19,overcast clouds
190,Villa Carlos Paz,AR,-31.4241,-64.4978,51.89,50,39,5.99,scattered clouds
191,Alice Springs,AU,-23.7,133.8833,90.95,17,45,20.71,scattered clouds
192,Tuatapere,NZ,-46.1333,167.6833,59.29,64,88,4.92,overcast clouds
193,Katsuura,JP,35.1333,140.3,81.9,86,95,21.12,overcast clouds
194,Pemangkat,ID,1.1667,108.9667,79.81,83,98,10.96,overcast clouds
195,Lavrentiya,RU,65.5833,-171.0,39.2,81,100,11.59,overcast clouds
196,Kattivakkam,IN,13.2167,80.3167,87.89,64,100,9.82,overcast clouds
197,Nome,US,64.5011,-165.4064,46.47,87,100,20.71,overcast clouds
198,Beringovskiy,RU,63.05,179.3167,40.1,78,99,15.43,overcast clouds
199,Oktyabrskiy,RU,54.4815,53.471,68.86,59,79,14.81,broken clouds
